"COU","country","SOURCE","Source","variable","variablename","yearname","year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","amount","Flag Codes","Flags"
"CHE","Switzerland","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,923,,
"EST","Estonia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,61.31365,,
"EST","Estonia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,60.1383,,
"EST","Estonia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,60.35232,,
"SVN","Slovenia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,163.03,,
"SVN","Slovenia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,164.39999,,
"SVN","Slovenia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,161.8,,
"LUX","Luxembourg","TOTAL_ABSTRACT","Total freshwater","AQUA","Aquaculture","2014","2014","M3","Cubic metres","6","Millions",,,0.13,,
"LUX","Luxembourg","TOTAL_ABSTRACT","Total freshwater","AQUA","Aquaculture","2015","2015","M3","Cubic metres","6","Millions",,,0,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,86.168,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,85.042,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","PUBLIC","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,107.18,,
"HUN","Hungary","TOTAL_ABSTRACT","Total freshwater","AQUA","Aquaculture","2015","2015","M3","Cubic metres","6","Millions",,,55.24,,
"ISL","Iceland","TOTAL_ABSTRACT","Total freshwater","AQUA","Aquaculture","2014","2014","M3","Cubic metres","6","Millions",,,670.59998,,
